Generation: 256; Difference: 134.41933028594772; Time: 14879397692415;
Generation: 257; Difference: 134.41933028594772; Time: 14941368785174;
Generation: 258; Difference: 134.41933028594772; Time: 15005393832162;
Generation: 259; Difference: 134.4056930902966; Time: 15079191246064;
Generation: 260; Difference: 134.39909906085362; Time: 15159391046101;
Generation: 261; Difference: 134.39909906085362; Time: 15234990093957;
Generation: 262; Difference: 134.39909906085362; Time: 15306152302519;
Generation: 263; Difference: 134.39875574955144; Time: 15373011218728;
Generation: 264; Difference: 134.397049114212; Time: 15433436126831;
Generation: 265; Difference: 134.3937354364881; Time: 15506836568299;
Generation: 266; Difference: 134.3937354364881; Time: 15584302793696;
Generation: 267; Difference: 134.38000572639473; Time: 15644283950505;
Generation: 268; Difference: 134.3794093628394; Time: 15708525422581;
Generation: 269; Difference: 134.3751443693583; Time: 15770978432954;
Generation: 270; Difference: 134.3751443693583; Time: 15837367608711;
Generation: 271; Difference: 134.37250339761496; Time: 15899757011868;
Generation: 272; Difference: 134.37250339761496; Time: 15966049739641;
Generation: 273; Difference: 134.37250339761496; Time: 16030634097853;
Generation: 274; Difference: 134.36359410338665; Time: 16105009175936;
Generation: 275; Difference: 134.35787910154826; Time: 16170376718501;
Generation: 276; Difference: 134.35787910154826; Time: 16229488197111;
Generation: 277; Difference: 134.35505722743707; Time: 16308630468952;
Generation: 278; Difference: 134.35505722743707; Time: 16368097681471;
Generation: 279; Difference: 134.35505722743707; Time: 16439758318515;
Generation: 280; Difference: 134.35139601521294; Time: 16503511931664;
Generation: 281; Difference: 134.3330497659825; Time: 16561339024269;
Generation: 282; Difference: 134.3330497659825; Time: 16635452312654;
Generation: 283; Difference: 134.3330497659825; Time: 16697149017906;
Generation: 284; Difference: 134.32614557774187; Time: 16753748066205;
Generation: 285; Difference: 134.32614557774187; Time: 16835918855685;
Generation: 286; Difference: 134.32614557774187; Time: 16899988259513;
Generation: 287; Difference: 134.32204974534346; Time: 16993740755953;
Generation: 288; Difference: 134.32204974534346; Time: 17064968345170;
